0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,1
0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0
4,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,3
0,0,0,0,0,0,0,0,4,0,2,0,8,0,0,2,1
0,0,0,0,2,0,0,0,0,0,4,2,0,0,8,2,2
2,0,4,4,0,0,8,0,0,0,0,0,0,2,0,0,3
0,0,0,0,0,0,0,0,2,0,4,0,2,2,8,4,1
0,2,0,0,0,0,0,0,0,0,2,4,0,4,8,4,0
2,0,0,0,0,0,0,0,2,4,0,2,4,8,4,0,2
4,4,4,2,4,8,0,2,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,1
0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,4,1
0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,4,1
0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,8,3
0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,8,3
0,0,2,0,0,0,0,0,0,0,0,4,0,0,4,8,3
0,0,0,0,0,0,0,0,2,0,2,4,0,0,4,8,1
0,0,0,0,0,0,0,0,0,2,4,4,0,0,4,8,1
2,0,0,0,0,0,0,0,0,0,2,8,0,0,4,8,3
0,0,0,0,0,0,0,0,0,2,2,0,2,0,4,16,1
